Date,AAPL,AMZN,GOOGL,MSFT
2022-01-12,172.70103454589844,165.20700073242188,141.08116149902344,310.84527587890625
2022-01-13,169.41485595703125,161.21400451660156,138.24468994140625,297.6894836425781
2022-01-14,170.2806854248047,162.13800048828125,139.13597106933594,302.96356201171875
2022-01-18,167.0634002685547,158.91749572753906,135.66207885742188,295.58966064453125
2022-01-19,163.5509033203125,156.2989959716797,134.78274536132812,296.2538146972656
2022-01-20,161.85861206054688,151.66749572753906,132.9782257080078,294.5641784667969
2022-01-21,159.79249572753906,142.64300537109375,130.02952575683594,289.12408447265625
2022-01-24,159.0152130126953,144.54400634765625,130.4809112548828,289.4561462402344
2022-01-25,157.20489501953125,139.98599243164062,126.6214599609375,281.760009765625
2022-01-26,157.11630249023438,138.87249755859375,128.91378784179688,289.78826904296875
2022-01-27,156.65391540527344,139.6374969482422,128.6863555908203,292.84527587890625
2022-01-28,167.58480834960938,143.97799682617188,133.02162170410156,301.0688171386719
2022-01-31,171.9630889892578,149.57350158691406,134.9692840576172,303.7253112792969
2022-02-01,171.79586791992188,151.19349670410156,137.30401611328125,301.55718994140625
2022-02-02,173.00601196289062,150.6125030517578,147.6344451904297,306.14752197265625
2022-02-03,170.11338806152344,138.8455047607422,142.73655700683594,294.2222900390625
2022-02-04,169.82772827148438,157.63949584960938,142.93905639648438,298.8028869628906
2022-02-07,169.1085968017578,157.9355010986328,138.857177734375,293.9293518066406
2022-02-08,172.23146057128906,161.4134979248047,139.0546875,297.4550476074219
2022-02-09,173.65992736816406,161.1894989013672,141.24224853515625,303.9499816894531
2022-02-10,169.56173706054688,159.0034942626953,138.277587890625,295.32598876953125
2022-02-11,166.1334686279297,153.2935028076172,133.95082092285156,288.1571960449219
2022-02-14,166.36988830566406,155.16700744628906,135.19125366210938,288.1181640625
2022-02-15,170.22178649902344,156.510498046875,136.2710723876953,293.4605407714844
2022-02-16,169.98538208007812,158.10049438476562,137.39779663085938,293.1179504394531
2022-02-17,166.36988830566406,154.65249633789062,132.2116241455078,284.534912109375
2022-02-18,164.81338500976562,152.60150146484375,130.08090209960938,281.7945861816406
2022-02-22,161.87767028808594,150.19749450683594,129.49285888671875,281.58905029296875
2022-02-23,157.69085693359375,144.82699584960938,127.2728500366211,274.2977600097656
2022-02-24,160.32115173339844,151.35800170898438,132.3632354736328,288.3125915527344
2022-02-25,162.39981079101562,153.7884979248047,134.1273956298828,290.9746398925781
2022-02-28,162.66578674316406,153.56300354003906,134.72341918945312,292.423095703125
2022-03-01,160.77432250976562,151.14199829101562,133.7303466796875,288.66497802734375
2022-03-02,164.08441162109375,152.05250549316406,134.23910522460938,293.7933044433594
2022-03-03,163.75929260253906,147.89849853515625,133.5687713623047,289.6142883300781
2022-03-04,160.7447967529297,145.64100646972656,131.58067321777344,283.6833801269531
2022-03-07,156.93231201171875,137.4530029296875,126.06634521484375,272.9667053222656
2022-03-08,155.09991455078125,136.01449584960938,126.7905502319336,269.971923828125
2022-03-09,160.5280303955078,139.2790069580078,133.0904541015625,282.3523864746094
2022-03-10,156.16387939453125,146.8175048828125,132.10240173339844,279.50439453125
2022-03-11,152.4302215576172,145.52450561523438,129.54971313476562,274.10198974609375
2022-03-14,148.38131713867188,141.85299682617188,125.639892578125,270.5493469238281
2022-03-15,152.7848663330078,147.3665008544922,128.8788604736328,281.03118896484375
2022-03-16,157.21795654296875,153.10400390625,132.9512939453125,288.11688232421875
2022-03-17,158.23265075683594,157.23899841308594,133.50840759277344,288.9292297363281
2022-03-18,161.542724609375,161.25050354003906,135.78927612304688,294.0281982421875
2022-03-21,162.92193603515625,161.4915008544922,135.76531982421875,292.7852783203125
2022-03-22,166.31076049804688,164.88900756835938,139.52252197265625,297.5808410644531
2022-03-23,167.68014526367188,163.4080047607422,137.93394470214844,293.1081848144531
2022-03-24,171.48275756835938,163.64950561523438,141.22232055664062,297.6199951171875
2022-03-25,172.1230926513672,164.77349853515625,141.32305908203125,297.20892333984375
2022-03-28,172.99002075195312,168.99049377441406,141.10610961914062,304.079345703125
2022-03-29,176.3000946044922,169.31500244140625,142.15350341796875,308.68896484375
2022-03-30,175.12779235839844,166.30099487304688,141.58790588378906,307.1719970703125
2022-03-31,172.01475524902344,162.99749755859375,138.7239990234375,301.74029541015625
2022-04-01,171.7191925048828,163.55999755859375,139.8043212890625,302.82659912109375
2022-04-04,175.78781127929688,168.34649658203125,142.61834716796875,308.2583312988281
2022-04-05,172.45803833007812,164.05499267578125,140.24374389648438,304.2554931640625
2022-04-06,169.2760467529297,158.75599670410156,136.21072387695312,293.1179504394531
2022-04-07,169.58145141601562,157.7845001220703,135.55284118652344,294.9481506347656
2022-04-08,167.56190490722656,154.4604949951172,132.95828247070312,290.6419372558594
2022-04-11,163.28639221191406,151.1219940185547,128.5052947998047,279.1814270019531
2022-04-12,165.16806030273438,150.78750610351562,127.39904022216797,276.0495910644531
2022-04-13,167.8673095703125,155.54100036621094,129.57315063476562,281.49114990234375
2022-04-14,162.83328247070312,151.7064971923828,126.41697692871094,273.86712646484375
2022-04-18,162.6165771484375,152.78500366210938,127.36112976074219,274.5423889160156
2022-04-19,164.91189575195312,158.11549377441406,129.68788146972656,279.22052001953125
2022-04-20,164.7444305419922,153.9980010986328,127.72372436523438,280.25799560546875
2022-04-21,163.9464569091797,148.29600524902344,124.50619506835938,274.82623291015625
2022-04-22,159.38525390625,144.35000610351562,119.33999633789062,268.19073486328125
2022-04-25,160.45909118652344,146.07400512695312,122.77000427246094,274.7381896972656
2022-04-26,154.469482421875,139.39100646972656,118.35693359375,264.4619140625
2022-04-27,154.24288940429688,138.16700744628906,114.01219177246094,277.1849060058594
2022-04-28,161.20779418945312,144.59649658203125,118.22974395751953,283.4582824707031
2022-04-29,155.3068084716797,124.28150177001953,113.82764434814453,271.6063537597656
2022-05-02,155.6122283935547,124.5,116.29503631591797,278.4082336425781
2022-05-03,157.109619140625,124.25350189208984,117.04418182373047,275.77557373046875
2022-05-04,163.55242919921875,125.92849731445312,121.95901489257812,283.8008728027344
2022-05-05,154.4398956298828,116.40699768066406,116.21772766113281,271.4399719238281
